Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Muthesius;Muthesius, Sonntag, Warme, Falk;Dorothea;Musiktherapie für Menschen mit Demenz;2010;Musik, Demenz, Begegnung;"Menschen mit Demenz brauchen Musik mehr als anderes und mehr als andere. In diesem Buch erläutern vier erfahrene MusiktherapeutInnen die neurologischen, biografischen und psychodynamischen Hintergründe der Arbeit mit Menschen mit Demenz.
Was bedeutet Musik für kognitiv veränderte Menschen in ihrem jeweiligen Lebensumfeld, von der Häuslichkeit bis zum Pflegeheim? Welche Settings und Rahmenbedingungen sind sinnvoll für Musiktherapie? Wie kann Atmosphäre gestaltet werden? Wie lässt sich Kontaktfähigkeit einschätzen, um daraus eine angemessene therapeutische Begleitung abzuleiten?
Viele Fallbeispiele und eine beiliegende DVD vermitteln überraschende, kreative und humorvolle Einblicke in die Arbeit mit Menschen mit Demenz.
2., vollständig überarbeitete Auflage der Ausgabe von 2010.";978-3863214333;Deutsch
Müller-Oursin;Müller-Oursin;Barbara;»Ich wachse, wenn ich Musik mache«: Musiktherapie mit chronisch kranken und von Behinderung bedrohten Kindern. 13. Musiktherapietagung (5. bis 6. März 2005) (zeitpunkt musik);2005;Chronische Krankheit, Behinderung, Kider;Eine chronische Krankheit hat in ähnlicher Weise wie eine körperliche oder geistige Behinderung für das betroffene Kind zur Folge, dass auch seine Fähigkeit, Kontakt aufzunehmen und Beziehungen befriedigend zu gestalten, empfindlich eingeschränkt ist. Das Kind fordert unsere Improvisationsfähigkeit heraus und unsere Bereitschaft, uns mit ihm zu entwickeln. Wie können wir verstehen, was es mit uns anstellt? Wie können wir die Beziehungsqualität zwischen Kind und Musiktherapeutin einschätzen? Das Buch umfasst Einblicke in verschiedene Arbeitsbereiche ( Kinder- und Jugendpsychiatrie, Onkologie, Orff-Musiktherapie mit entwicklungsverzögerten Kindern) sowie Forschungsberichte zur Integrationsforschung, zur Bedeutung der Mutterstimme in der frühen Kindheit und zur Reliabilitätsprüfung des Beobachtungsinstrumentes EBQ (Einschätzung der Beziehungsqualität).;978-3895004728;Deutsch
Nauck;Nauck;Friedmann;Lehrbuch von Palliativmedizin (für weitere Angaben siehe Aulbert);1998;Tinnitus, Gehör;Auszug aus der Neuauflage: „Dieses Buch ist nicht nur ein Begleiter für Ärzte, sondern auch ein hilfreicher, tröstender, ja die Einsamkeit überbrückender Ratgeber für Tinnituskranke. Es strahlt eine Menschlichkeit aus, wie ich sie mir für die Medizin der Zukunft wünsche und eine Unmittelbarkeit, die beispielhaft ist.“ (Dr. Hildegund Heinl) --- Zum Buch: Die meist einseitig medinische Sichtweise der Tinnituskrankheit erfährt hier eine wesentliche Erweiterung. Denn hier wird der belebte Körper in den Vordergrund gerückt, kommt die „Seele“ neben dem „Leib“ zur Geltung. Betroffene, ihre Angehörigen und Therapeuten erfahren hier etwas über das erprobte ganzheitliche psychosomatische Konzept der Tinnitus-Fachklinik Arolsen, in der dem psychischen Befinden und den vielfältigen körperlichen und seelischen Problemen der oft am Tinnitus verzweifelnden Patienten grosse Beachtung geschenkt wird. --- Inhalt: Einführung. --- Teil I - Sinnesentwicklung und Wahrnehmung: Der akustische Anfang des Lebens. - Entwicklung, psychosomatisch gesehen - Die akustische Wirklichkeit. - Funktionsweise des Ohres und der Hörbahn-Grundlagen --- Teil II - Stationäre Tinnitus-Therapie: Spezielle Hörtherapie. - Strategien zur Verbesserung der auditiven Wahrnehmung. - Manuelle Therapie: Von der Hartnäckigkeit und Halsstarrigkeit des Tinnitus. - Schlaflos durch Tinnitus: Schlafstörungen bei Tinnitus-Betroffenen - Tai Chi/ Qi Gong: Bewegungs- und Körperarbeit. - Tai Chi/Qi Gong aus der Sicht der Psychosomatik und Sensomotorik. - Tiefenpsychologie: Signale der Seele. - Körperorientierte Psychotherapie. - Die Erstbehandlung in der Sprechstunde. – Therapeutische Teamarbeit. --- III. Anhang, Glossar, Literaturverzeichnis --- Das erfolgreiche Konzept der ersten Auflage des Buches ist beibehalten worden. Die meisten Kapitel wurden aktualisiert. Zusätzlich wurden Kapitel aus dem mittlerweile vergriffenen Buch „Tinnitus - Leiden und Chance“ (Hesse, Nelting, Schaaf) übernommen. Gänzlich neu sind Schritte zur „Vertonung“ des Buches. Eine neuartige Datentechnik, entwickelt von der Fa. DATA-SOUND, macht es möglich, dass verschiedene Bereiche durch Klangbeispiele „erhört“ werden können. --- Das Buch enthält Sound-Strips der Firma Data-Sound, Ludwigshafen.;3-89019-438-9;Deutsch
Nelting;Nelting, Hesse, Schaaf;M.;Tinnitustherapie mit Leib und Seele;;;;;
Niedecken;Niedecken;Dietmut;Szene und Containment. Wilfred Biion und Alfred Lorenzer: Ein fiktiver Dialog;2008;Bin, Lorenzer;Wilfred Bion (1897- 1979) und Alfred Lorenzer (1922-2002) – ihre Ansätze könnten unterschiedlicher nicht sein. Was wäre geschehen, wären sie sich in einem wissenschaftlichen Diskurs begegnet? Beide denken von Grenzerfahrungen her, und von solchen ausgehend wollen die Autorinnen und Autoren dieser Anthologie zeigen, welch reiches Potential ein solcher Diskurs bietet. Auf unterschiedliche Weise geht es in den Beiträgen darum, Lorenzer klinisch zu füllen und zugleich Bions Theorie im Rahmen einer kritischen Theorie des Subjekts zu verankern.;978 – 3– 8288 – 9674 – 1;Deutsch
;;;;;;;;
Nöcker-Ribaupierre;Nöcker-Ribaupierre;Monika;Förderung Frühgeborener Kinder mit Musik und Stimme;2004;Frühgeborene Kinder;Wie kann man sehr kleine frühgeborene Kinder und ihre Eltern im Alltag der Intensivstation mit Musik unterstützen? Welche Rolle spielt die Mutterstimme? Wie lässt sich das Kind mit Rhythmus und Klang im Inkubator beruhigen? Wann muss man psychotherapeutisch eingreifen? Praxisorientiert erklären die Autorinnen die Anwendung verschiedener musikmedizinischer und musiktherapeutischer Verfahren in der Klinik. Sie informieren anschaulich über die Entwicklung des Kindes im Mutterleib und die Mutter-Kind-Bindung und machen diese Erkenntnisse für die musiktherapeutische Praxis fruchtbar. Zahlreiche Tipps für den Übergang ins eigene Heim und die Betreuung des Kindes zu Hause runden das Buch ab. Mit Informationen über Selbsthilfegruppen, Literaturempfehlungen und einem Glossar wichtiger Fachbegriffe;3-497-01721-3;Deutsch
Nordoff;Nordoff, Robbins;Paul;Therapy in Music for handicapped childeren;1971;Musiktherapy, Kinder mit Behinderung;"This book traces the development of the Nordoff-Robbins approach to Creative Music Therapy. It is in the nature of a clinical autobiography in which Paul Nordoff and Clive Robbins describe in detail the successive treatment and research projects through which they empirically shaped their seminal contribution to the field. The approach took two fundamental directions, both creative. With individual children, they based their clinical practice on interactive improvisation; in group work, they mainly relied on composition, songs, instrumental activities and forms of music theatre composed especially to meet the ability levels and developmental needs of the children. The processes of creative therapy that the pioneers researched in children inspired succeeding generations of therapists to apply their approach to adult clients and across the entire spectrum of human disability, illness, deprivation, and need.";0-575-00755-9;Englisch
Oldfield;Oldfield;Amalia;Interaktiv Musiktherapy & Child & Family Psychiatry;2006;Interaktive Musiktherapie, Kinder, Familien, Klinische Praxis, Forschung, Lehre;This practical book outlines and explains the rationale for using music therapy in child and family psychiatry. Amelia Oldfield reflects on current research methodology and describes characteristics of her own approach to therapy sessions, including how to start and end the session, how to motivate children and establish a positive musical dialogue with them, and how to include parents in the session. She also uses video analysis techniques to assess and advance the role of the therapist.;1-84310-444-X;Deutsch
Pavlicevic 01;Pavlicevic;Mercédes;Groups in Music. Strategies from Music Therapy.;2003;Gruppenprozess, Strategien;;1-84310-0819;Englisch
Pavlicevic 02;Pavlicevic;Mercédes;Music therapy in Childeren‘s Hospices;2005;Musiktherapie, Hospiz, Kinder;Individual chapters focus on the results of the author's research investigations with specific groups such as mothers and young children, groups of adults with profound difficulties, children with autistic spectrum disorder or severe physical and mental difficulties, as well as children without clear diagnosis. Case studies and vignettes supplement these examples. The author also considers the whole process from the initial referral for therapy and using psychiatric music therapy for diagnostic assessment to how to end treatment.;978-1843102540;Englisch
Pühl ;Pühl ;Harald;Angst in Gruppen und Institutionen;1994;Angst;;3-927370-16-9;Deutsch
Petersen, Thiel;Petersen, Thiel;Dietrich;Tonarten, Spielarten, Eigenarten. Kreative Elemente in der Musiktherapie mit Kindern und Jugendlichen.;2001;Kinder und Jugendliche, Tonarten, Spielarten;This book is accessible to music therapists, psychiatrists, nurses and occupational therapists working with children and families, as well as music therapy trainers, their students and academics interested in music therapy.;978-3525458747;Deutsch
Petzold;Petzold;Hilarion;Integrative Therapie;1999;innovative Musiktherapie;Musiktherapie mit Kindern und Jugendlichen trennen vordergründig Welten, hier das noch spielende Kind, dort der um AUtonomie ringende, darin oft sperrige Jugendliche. Tatsächlich jedoch gibt es zwischen diesen ALtersgruppen vielerlei Gemeinsamkeiten, die von den Autoren als roter Faden auf verschiednen Ebenen verfolgt werden: entwicklungspsychologisch, künstlerisch und ausdruckstherapeutisch. Die Heilsamen Prozesse im Spiel mit Tönen, Rhythmen, Versen, Bildern oder Instrumenten werden so theoretische fundiert und anhand von Fallbeispielen begreifbar gemacht.;978-3525458747;Deutsch
Perret;Perret;Daniel;Roots of Musicality. Music Therapy and personal development;2005;Persönlichkeitsentwicklung, Musikalität, Musiktherapie ;This is a book about music and the human spirit. It...explain[s] how the spirit of a child may be enlivened by music. Daniel Perret plays in dialogue with young minds and bodies to liberate them from restraint and isolation. There is always a chance that music will spark the fire of life and creativity, setting a spirit free and bringing happiness. In skilled and sympathetic hands, it can educate and heal. -- From the Foreword by Colwyn Trevarthen I would recommend it to music therapists who are seeking another frame of reference for their work or new musical ideas. -- Australian Journal of Music Therapy;978-1843103363;Englisch
Plahl;Plahl, Koch-Temming;Christine;Musiktherapie mit Kindern. Grundlagen - Methoden -Praxisfelder;2005;Musiktherapie mit Kindern. Grundlagen - Methoden -Praxisfelder;"Musiktherapie mit Kindern wird heute in vielen Bereichen praktiziert - in der Sozialpädiatrie, der Kinder- und Jugendpsychiatrie, in Schulen und Heimen ebenso wie in musiktherapeutischen Praxen. Das breit angelegte Buch verbindet in einzigartiger Form Theorie und Praxis der Musiktherapie mit Kindern: Orientiert an der Praxis musiktherapeutischen Vorgehens werden neben musikalischen, psychologischen und soziologischen Grundlagen die Indikationen, das diagnostische und methodische Vorgehen sowie aktuelle Ergebnisse der musiktherapeutischen Wirksamkeitsforschung umfassend präsentiert. Es werden neue Entwicklungen in der Musiktherapie mit Kindern aufgezeigt und das breite Spektrum musiktherapeutischer Praxis wird anhand zahlreicher Fallberichte veranschaulicht - von der Behandlung autistischer und traumatisierter Kinder bis hin zur Musiktherapie mit Kindern aus Migrationsfamilien. Das Buch stellt in verständlicher und umfassender Form die vielfältigen Möglichkeiten musiktherapeutischer Behandlung von Kindern dar und wendet sich als Grundlagenwerk an alle, die in medizinischen, psychologischen, pädagogischen, sozialpädagogischen oder kreativ-therapeutischen Kontexten mit Kindern arbeiten; ebenso an Eltern, Kostenträger und andere Interessierte, die sich über den aktuellen Stand der Musiktherapie mit Kindern informieren wollen.";	9783456945897;Deutsch
Priestley01;Priestley;Mary;Musiktherapeutische Erfahrungen ;1975;Analytische Musiktherapie, Methodik, Anwendung;Das vorliegende Buch gibt einen Eindruck in die inhaltliche und methodische Ausrichtung analytischer Musiktherapie. Dabei sind Hinweise zur Instrumenten Auswahl und zur Studieninhalten genauso berücksichtigt, wie konkrete Möglichkeiten der Psychohygiene für Musiktherapeuten. Ein persönliches Verständnis von Musik wird dem Leser vor Augen geführt, dass auch therapiefremden Arbeitsfeldern weiterführende Perspektiven für den Umgang mit Musik öffnet. Dieses Werk ist der erste Band der Reihe „Praxis der Musiktherapie“, die wichtige Arbeiten zu Musiktherapie sowohl als Original Text wie eine Übersetzung Verein soll.;3– 7618 – 0682 – 5;Deutsch
Priestley01a;Priestley;Mary;Musiktherapeutische Erfahrungen ;1975;Analytische Musiktherapie, Methodik, Anwendung;Das vorliegende Buch gibt einen Eindruck in die inhaltliche und methodische Ausrichtung analytischer Musiktherapie. Dabei sind Hinweise zur Instrumenten Auswahl und zur Studieninhalten genauso berücksichtigt, wie konkrete Möglichkeiten der Psychohygiene für Musiktherapeuten. Ein persönliches Verständnis von Musik wird dem Leser vor Augen geführt, dass auch therapiefremden Arbeitsfeldern weiterführende Perspektiven für den Umgang mit Musik öffnet. Dieses Werk ist der erste Band der Reihe „Praxis der Musiktherapie“, die wichtige Arbeiten zu Musiktherapie sowohl als Original Text wie eine Übersetzung Verein soll.;3– 7618 – 0682 – 5;Deutsch
Priestley02;Priestley;Mary;Analytische Musiktherapie;1983;Analytische Musiktherapie;"Konzepte der Human Wissenschaften. Die Wände dieses Programms beschreiben und begründen Veränderungen in der Behandlung von Menschen durch Menschen. Wir haben an solchen Veränderung teil; wir bewirken Sie, wir sind Ihnen ausgesetzt. Entscheidungen darüber, ob sich der Spielraum menschlichen Verhaltens unter dem Drucktechnologische Neuerungen einschränkt oder erweitert, fallen jeden Tag, besonders in der Praxis der sozial – und Erziehungsberufe. Die Bücher unseres Programms sind Mittel, Erfahrungen aus dieser Praxis zu prüfen, zu verallgemeinern und nachvollziehen. ";3-608-95186-5;Deutsch
Priestley02a;Priestley;Mary;Analytische Musiktherapie;1983;Analytische Musiktherapie;"Konzepte der Human Wissenschaften. Die Wände dieses Programms beschreiben und begründen Veränderungen in der Behandlung von Menschen durch Menschen. Wir haben an solchen Veränderung teil; wir bewirken Sie, wir sind Ihnen ausgesetzt. Entscheidungen darüber, ob sich der Spielraum menschlichen Verhaltens unter dem Drucktechnologische Neuerungen einschränkt oder erweitert, fallen jeden Tag, besonders in der Praxis der sozial – und Erziehungsberufe. Die Bücher unseres Programms sind Mittel, Erfahrungen aus dieser Praxis zu prüfen, zu verallgemeinern und nachvollziehen. ";3-608-95186-5;Deutsch
Radbruch;Radbruch;Christoph;Lehrbuch von Palliativmedizin (für weitere Angaben siehe Aulbert);;;;;Deutsch
Renz;Renz;Monika;Zwischen Urangst und Urvertrauen. Therapie früher Stölrungen über Musik-, Symbol-, und spirituelle Erfahrungen. Mit einem Vorwort von Prof. Dr. Med. H.S. Herzka;1996;Urangst, Urvertrauen, Therapie früher Störungen;"Zu Grunde gehen oder auf dem Grund gehen?So ähnlich lautete die Frage der Autoren in ihr der persönlichen Ausgangslage, als sie, mit immer neuen Krankheiten konfrontiert, über Jahre ratlos nach Hintergründen der Leiden suchte. Das vorliegende Buch ist über solche Erfahrungen entstanden. Es wird selbst zum „Abstieg in eine tiefere Ebene“: konkret nachvollziehbar anhand zahlreicher Beispiele von Menschen, die den Gang ins Labyrinth sagten; theoretisch im Versuch, zu begreifen, welche Themen und Ängste auf diesem Gang angeschaut werden müssen und welche Kräfte dabei frei werden. Das Buch bleibt aber nicht bei Berichten therapeutische Aufarbeitung stehen. Es wagt, Bezüge herzustellen zur frühen menschlichen Entwicklung. Zahlreiche Leiden werden neu einstellbar, wenn früher Entwicklung – außerhalb dessen, was derzeit wissenschaftlich erforschtbar ist - als geheimnisvoller Übergang von einem grundsätzlich anderen Zustand in das sinnhaft körperliche Dasein betrachtet wird. Etwas im Menschen lebt in einem Bereich und kommt aus einem Ort jenseits dessen, was Menschen zu erfassen oder in Ihrem Gedächtnis zu speichern vermögen. Wie fühlt es sich an, von dort Abschied zu nehmen und hier anzukommen?@Welche Zeit menschliche Entwicklung fällt dieser Übergang? Wie mag wohl ein ungeborenes, ein Säugling selbst sein heran reifen empfinden? Wie fühlt sich das da – sein an, wenn mit beginnenden Sinneswahrnehmung schon im Bauchraum der Mutter liche Herzschlag und die Mutter Stimme gehört werden? Sind sich Erfahrungen in den frühsten Kindheit und solche in größter Todesnähe – trotz aller Verschiedenheit – ähnlich? Was aus der Perspektive des ungeborenen und des Oh Säuglings genau empfunden wird, wird immer und beschreibbar bleiben. Es ist aber möglich, sich später diesen mutmaßlichen empfinden von einst über Körperbotschaften und Imagination über Reaktionen auf Klänge und Rhythmen, über Besonderheiten aus grenzspringenden Therapieverläufen nochmals an zu nähern. Es entstand ein Modell menschliche Entwicklung, dass wir standen sein will als eine Gesamtschau, die Freud von Leid neu erklären kann. „Der Text unterstreicht mit Treffen der Begrifflichkeit und mit eindrücklich den Fallbeispielen die große Bedeutung des Mediums Musik in der Therapie von Menschen mit frühen Störung… So wird das Medium Musik durch einen eigenen Ansatz detailliert und systematisch in einem entwicklungspsychologischen Konzept verankert. Die Einmalige Wirkung von Musik in der Therapie und in Heilungsritualen wird dadurch auf neue Art verständlich.“ – Fritz Hegi   Moni Karenz Right sich mit ihrer Arbeit in die vordersten Linie der jenigen ein, welche die Umrisse eines neuen Menschen Bilder skizzieren, eines Konzepts, welches auf Bewegung und auch Verbundenheit mit dem Kosmos beruht, und gleichzeitig die Besonderheiten des Menschen berücksichtigt.“ – Professor Doktor mäht H. S. Herzka     ";3-87387-263-3;Deutsch
